Date,Open,High,Low,Close,Adj Close,Volume
2010/1/4,115,115.655998,114.688004,115.094002,115.094002,171137
2010/1/5,115.25,116.155998,115.125,116.030998,116.030998,204871
2010/1/6,115.844002,115.875,114.905998,115.311996,115.311996,262691
2010/1/7,115.061996,115.719002,114.811996,115.280998,115.280998,244454
2010/1/8,115.188004,115.780998,114.75,115.469002,115.469002,244454
2010/1/11,115.125,115.594002,114.875,115.188004,115.188004,244454
2010/1/12,115.25,116.938004,115.25,116.811996,116.811996,244454
2010/1/13,116.875,117.061996,115.75,115.938004,115.938004,234650
2010/1/14,115.844002,117.094002,115.75,116.780998,116.780998,256463
2010/1/15,116.719002,117.75,116.688004,117.375,117.375,225112
2010/1/19,117.405998,117.844002,116.75,117.155998,117.155998,207008
2010/1/20,117.280998,118.125,117.25,117.969002,117.969002,218212
2010/1/21,117.969002,118.844002,117.719002,118.625,118.625,284956
2010/1/22,118.780998,119.094002,118.405998,118.844002,118.844002,283179
2010/1/25,118.594002,118.719002,118.061996,118.311996,118.311996,178319
2010/1/26,118.375,119.188004,118.188004,118.280998,118.280998,210760
2010/1/27,118.311996,119.125,118.188004,118.344002,118.344002,273479
2010/1/28,118.25,118.469002,117.625,118.155998,118.155998,275420
2010/1/29,118.375,119.219002,117.719002,118.811996,118.811996,317191
2010/2/1,119.125,119.125,118,118.155998,118.155998,223137
2010/2/2,118.188004,118.438004,117.905998,118.405998,118.405998,155623
2010/2/3,118.311996,118.344002,117.25,117.375,117.375,264438
2010/2/4,117.344002,119.061996,117.25,118.780998,118.780998,405062
2010/2/5,118.688004,119.561996,118.344002,119.5,119.5,386538
2010/2/8,119.219002,119.344002,118.780998,118.938004,118.938004,171818
2010/2/9,119.280998,119.344002,118.155998,118.311996,118.311996,323903
2010/2/10,118.219002,118.655998,117.344002,117.561996,117.561996,299829
2010/2/11,117.561996,117.844002,116.719002,117.25,117.25,324563
2010/2/12,117.344002,117.875,117.25,117.561996,117.561996,249610
2010/2/16,117.469002,118.030998,117,117.811996,117.811996,226768
2010/2/17,117.844002,117.875,116.530998,116.811996,116.811996,275046
2010/2/18,116.905998,117.25,115.905998,116.188004,116.188004,356604
2010/2/19,116.280998,116.875,116.188004,116.780998,116.780998,303327
2010/2/22,116.780998,116.811996,116.219002,116.375,116.375,269938
2010/2/23,116.405998,118,116.311996,117.875,117.875,626225
2010/2/24,117.844002,118.280998,117.530998,117.719002,117.719002,633558
2010/2/25,117.75,118.594002,117.655998,118.405998,118.405998,398514
2010/2/26,118.469002,119.280998,118.280998,119.188004,119.188004,124406
2010/3/1,118.844002,119.188004,118.625,118.969002,118.969002,24414
2010/3/2,118.969002,118.969002,118.375,118.844002,118.844002,54543
2010/3/3,118.875,118.938004,118.280998,118.780998,118.780998,17672
2010/3/4,118.719002,119.561996,118.594002,119.311996,119.311996,22267
2010/3/5,119.311996,119.375,118,118.188004,118.188004,15981
2010/3/8,118.188004,118.188004,117.75,117.905998,117.905998,2892
2010/3/9,117.969002,118.344002,117.719002,117.969002,117.969002,16918
2010/3/10,117.938004,118,117.405998,117.844002,117.844002,6843
2010/3/11,117.969002,118.280998,117.469002,118.125,118.125,7141
2010/3/12,117.905998,118.594002,117.375,118.469002,118.469002,8860
2010/3/15,118.5,118.625,118.061996,118.438004,118.438004,5743
2010/3/16,118.5,119.311996,118.405998,119.188004,119.188004,2998
2010/3/17,119.219002,119.625,119.125,119.438004,119.438004,2877
2010/3/18,119.561996,119.875,119.125,119.25,119.25,2327
2010/3/19,119.219002,119.75,118.938004,119.438004,119.438004,3286
2010/3/22,119.188004,119.625,119.188004,119.438004,119.438004,158945
2010/3/23,117.938004,118.155998,117.561996,117.719002,117.719002,201031
2010/3/24,117.625,117.688004,115.594002,115.844002,115.844002,421794
2010/3/25,115.75,116,114.811996,115.030998,115.030998,395096
2010/3/26,115.280998,115.655998,115,115.438004,115.438004,212703
2010/3/29,115.311996,115.530998,115.030998,115.5,115.5,174818
2010/3/30,115.438004,115.75,115,115.655998,115.655998,215124
2010/3/31,115.719002,116.25,115.561996,116.125,116.125,317553
2010/4/1,116.061996,116.219002,115.311996,115.905998,115.905998,249670
2010/4/5,114.905998,115.125,114.188004,114.375,114.375,220886
2010/4/6,114.405998,114.969002,114.344002,114.405998,114.405998,249703
2010/4/7,114.561996,115.844002,114.344002,115.688004,115.688004,347548
2010/4/8,115.655998,115.938004,115.311996,115.405998,115.405998,280889
2010/4/9,115.469002,115.844002,115.094002,115.655998,115.655998,234870
2010/4/12,115.530998,116.438004,115.25,116.25,116.25,237637
2010/4/13,116.219002,116.688004,116.061996,116.625,116.625,272428
2010/4/14,116.438004,116.688004,115.780998,115.938004,115.938004,281557
2010/4/15,115.844002,116.375,115.469002,116.030998,116.030998,279252
2010/4/16,116.155998,117,116.125,116.875,116.875,364242
2010/4/19,116.969002,117.188004,116.469002,116.5,116.5,199701
2010/4/20,116.561996,116.811996,116.311996,116.75,116.75,217416
2010/4/21,116.75,117.625,116.625,117.594002,117.594002,293201
2010/4/22,117.625,117.905998,117.155998,117.280998,117.280998,308686
2010/4/23,117.280998,117.469002,116.688004,116.875,116.875,284373
2010/4/26,116.969002,117.469002,116.688004,116.875,116.875,213040
2010/4/27,116.969002,118.75,116.905998,118.438004,118.438004,420029
2010/4/28,118.280998,118.5,117.438004,117.530998,117.530998,369729
2010/4/29,117.625,118.25,117.469002,118.219002,118.219002,265175
2010/4/30,118.188004,119.125,117.969002,119.061996,119.061996,349988
2010/5/3,118.938004,118.969002,118.469002,118.719002,118.719002,201611
2010/5/4,118.938004,120.344002,118.811996,120,120,388552
2010/5/5,120.188004,121.438004,120,120.530998,120.530998,497258
2010/5/6,120.561996,124.5,120.094002,123.344002,123.344002,682398
2010/5/7,122.875,124.125,121.375,122,122,613890
2010/5/10,121.438004,121.530998,120.155998,120.844002,120.844002,308791
2010/5/11,120.811996,121.75,120.280998,120.780998,120.780998,317297
2010/5/12,120.844002,121.219002,120.094002,120.311996,120.311996,303060
2010/5/13,120.25,121.125,119.811996,120.530998,120.530998,425440
2010/5/14,120.905998,122.561996,120.75,122.030998,122.030998,412976
2010/5/17,121.780998,122.811996,121.219002,121.438004,121.438004,382473
2010/5/18,121.344002,123.061996,121.219002,122.688004,122.688004,382981
2010/5/19,123,123.530998,122.405998,122.780998,122.780998,435583
2010/5/20,122.561996,124.780998,122.561996,124.030998,124.030998,584386
2010/5/21,124.655998,126.030998,124.125,124.875,124.875,553482
2010/5/24,124.280998,125.405998,124.25,124.375,124.375,421751
2010/5/25,124.780998,126.469002,124.688004,125.25,125.25,691927
2010/5/26,125,125.280998,123.875,124.469002,124.469002,695809
2010/5/27,124.780998,124.811996,122.655998,122.938004,122.938004,543239
2010/5/28,122.75,123.469002,122.719002,123.219002,123.219002,104887
2010/6/1,123.25,124.280998,122.905998,123.344002,123.344002,49679
2010/6/2,123.719002,124.061996,122.780998,122.905998,122.905998,29441
2010/6/3,122.905998,123.125,121.875,122.5,122.5,25540
2010/6/4,122.625,124.938004,122.561996,124.905998,124.905998,13586
2010/6/7,125,125.469002,124.219002,124.811996,124.811996,11962
2010/6/8,125.311996,125.311996,124.688004,125.094002,125.094002,11548
2010/6/9,124.844002,124.969002,124.155998,124.875,124.875,12615
2010/6/10,125,125.030998,123.094002,123.094002,123.094002,9221
2010/6/11,123.280998,124.655998,123.25,124.688004,124.688004,2587
2010/6/14,124.155998,124.155998,123.311996,123.811996,123.811996,4241
2010/6/15,123.905998,124.405998,123.094002,123.311996,123.311996,3493
2010/6/16,123.311996,124.280998,123.311996,123.688004,123.688004,3524
2010/6/17,124.188004,125.030998,123.561996,124.905998,124.905998,3302
2010/6/18,124.844002,125.188004,124.405998,124.469002,124.469002,4137
2010/6/21,124.25,124.280998,123.311996,124.280998,124.280998,266814
2010/6/22,123.655998,124.844002,123.280998,124.75,124.75,217014
2010/6/23,124.655998,125.75,124.375,125.344002,125.344002,259902
2010/6/24,125.311996,125.969002,124.75,125.030998,125.030998,274180
2010/6/25,124.811996,125.719002,124.594002,125.344002,125.344002,239342
2010/6/28,125.530998,126.5,125.405998,126.280998,126.280998,203679
2010/6/29,126.375,127.405998,126.219002,127.125,127.125,337433
2010/6/30,127.375,127.75,126.905998,127.5,127.5,300267
2010/7/1,127.688004,128.593994,127.438004,128,128,345665
2010/7/2,127.655998,128.281006,127.061996,127.155998,127.155998,264993
2010/7/6,127.188004,128.188004,127.061996,128,128,234048
2010/7/7,128,128.188004,127.125,127.311996,127.311996,230509
2010/7/8,127.219002,127.469002,126.344002,126.780998,126.780998,245140
2010/7/9,126.594002,126.811996,126.155998,126.280998,126.280998,170079
2010/7/12,126.219002,127,126.094002,126.344002,126.344002,210946
2010/7/13,126.188004,126.688004,125.25,125.469002,125.469002,238785
2010/7/14,125.344002,126.719002,125.219002,126.594002,126.594002,358147
2010/7/15,126.625,127.811996,126.155998,127.655998,127.655998,359704
2010/7/16,127.375,128.468994,127.25,128.093994,128.093994,304382
2010/7/19,128.311996,128.406006,127.405998,127.594002,127.594002,222204
2010/7/20,127.719002,128.406006,127.5,127.969002,127.969002,265626
2010/7/21,127.688004,129.438004,127.561996,128.843994,128.843994,341799
2010/7/22,128.968994,129.218994,128,128.093994,128.093994,235296
2010/7/23,128.061996,128.218994,127.125,127.155998,127.155998,270445
2010/7/26,127.219002,127.5,126.5,127.219002,127.219002,190523
2010/7/27,127.219002,127.311996,126.219002,126.344002,126.344002,242334
2010/7/28,126.375,126.969002,126.030998,126.844002,126.844002,290002
2010/7/29,126.875,127.125,126.219002,126.875,126.875,311176
2010/7/30,126.969002,128.75,126.938004,128.718994,128.718994,372291
2010/8/2,128.561996,128.593994,127.561996,127.625,127.625,199568
2010/8/3,127.625,128.656006,127.625,128.406006,128.406006,241834
2010/8/4,128.375,128.843994,127.75,127.905998,127.905998,222479
2010/8/5,127.844002,128.843994,127.75,128.375,128.375,254442
2010/8/6,128.561996,129.843994,128.343994,129.531006,129.531006,319301
2010/8/9,129.531006,129.718994,129.093994,129.343994,129.343994,189224
2010/8/10,129.188004,130.718994,129.125,129.781006,129.781006,320996
2010/8/11,129.906006,131.438004,129.906006,131.375,131.375,338749
2010/8/12,131.406006,131.688004,130.906006,131.218994,131.218994,338643
2010/8/13,131.093994,132.188004,130.968994,132,132,247207
2010/8/16,132.061996,134.031006,131.968994,133.875,133.875,333696
2010/8/17,133.938004,133.938004,132.781006,132.906006,132.906006,282175
2010/8/18,133.031006,134.218994,132.906006,133.343994,133.343994,285637
2010/8/19,133.375,134.968994,132.968994,134.343994,134.343994,399723
2010/8/20,134.375,135.218994,133.906006,134,134,271331
2010/8/23,133.968994,134.343994,133.688004,134.125,134.125,268304
